,sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,weight,crunch factor,raisins,nuts,chocolate,oats,peanut butter,butter type_melted,baking_index
0,0.25,9.5,300,15.0,136.0,0.99367,8.1,0.44,12.1,8,15.2,1.3,1,0,0,0,0,1,3630.0
1,0.23,3.3,520,34.0,113.0,0.99429,8.16,0.48,8.4,7,12.4,1.71,1,0,0,0,0,1,4368.0
2,0.18,1.9,360,33.0,106.0,0.98746,8.21,0.83,14.0,9,9.4,1.78,0,1,1,0,0,1,5040.0
3,0.18,10.5,490,41.0,124.0,0.9963,8.14,0.35,10.5,7,12.2,1.59,0,0,1,0,0,1,5145.0
4,0.24,2.4,640,6.0,33.0,0.9974,8.09,0.57,9.4,5,19.8,1.3,0,1,1,1,0,0,6016.0
5,0.22,18.15,500,23.0,139.0,0.99904,8.06,0.5,9.2,7,13.2,1.16,0,0,1,0,0,1,4600.0
6,0.39,2.3,410,31.0,102.0,0.99221,8.22,0.58,10.9,9,13.2,1.93,0,0,1,0,0,1,4469.0
7,0.39,2.6,440,30.0,180.0,0.9941,8.46,0.44,10.8,9,15.2,1.51,0,0,1,0,0,1,4752.0
8,0.18,1.8,640,13.0,40.0,0.997,8.44,0.6,9.1,5,14.2,1.89,0,1,1,1,0,0,5824.0
9,0.17,12.9,330,59.0,186.0,0.99754,8.08,0.49,9.4,7,13.8,1.18,0,1,1,0,0,1,3102.0
10,0.49,9.6,300,45.0,197.0,0.9938,8.13,0.38,12.3,9,15.2,1.65,0,0,1,0,0,1,3690.0
11,0.29,3.3,370,32.0,140.0,0.9895,8.17,0.36,12.8,9,12.6,1.2,0,0,1,0,0,1,4736.0
12,0.25,7.5,300,18.0,117.0,0.99116,8.09,0.38,13.0,8,13.8,1.63,0,0,1,0,0,1,3900.0
13,0.58,16.75,500,43.0,163.0,0.9999,8.15,0.54,9.2,7,15.2,1.79,1,0,0,0,0,1,4600.0
14,0.34,3.4,360,34.0,200.0,0.9937,8.14,0.76,10.0,7,13.0,1.29,1,0,0,0,0,1,3600.0
15,0.34,7.6,450,25.0,118.0,0.99222,8.03,0.37,11.0,8,12.0,1.94,0,1,1,0,0,1,4950.0
16,0.05,2.1,610,20.0,49.0,0.99705,8.31,0.55,9.7,3,14.6,1.48,1,0,0,1,0,0,5917.0
17,0.33,7.0,240,14.0,130.0,0.9918,8.25,0.45,12.5,9,15.2,1.97,0,1,1,0,0,1,3000.0
18,0.35,1.2,500,36.0,140.0,0.99138,8.09,0.45,11.2,7,15.6,1.15,0,0,1,0,0,1,5600.0
19,0.39,1.0,320,14.0,71.0,0.98912,8.31,0.38,13.0,9,13.4,1.55,0,0,1,1,0,1,4160.0
20,0.29,2.6,640,31.0,119.0,0.99801,8.15,0.5,9.1,5,16.8,1.71,1,1,0,0,0,0,5824.0
21,0.29,1.6,520,48.0,185.0,0.9934,8.21,0.5,9.4,7,12.6,1.78,0,0,1,0,0,1,4888.0
22,0.31,14.5,450,39.0,193.0,0.9986,8.1,0.5,9.2,8,14.8,1.99,0,0,1,1,0,1,4140.0
23,0.32,2.5,420,23.0,218.5,0.9935,8.27,0.6,9.8,7,12.2,1.73,0,0,1,0,0,1,4116.0
24,0.32,2.4,480,35.0,103.0,0.9911,8.28,0.46,12.0,10,13.6,1.68,1,0,0,0,0,1,5760.0
25,0.4,2.7,640,6.0,11.0,0.99538,8.44,0.54,12.2,6,15.2,1.82,0,1,1,0,0,0,7808.0
26,0.49,9.0,440,31.0,185.0,0.998,8.34,0.49,10.0,8,16.0,1.77,0,0,1,0,0,1,4400.0
27,0.23,2.5,440,16.0,70.0,0.99352,8.46,0.65,12.5,6,12.2,1.36,1,1,0,0,0,0,5500.0
28,0.27,4.6,290,22.0,104.0,0.9949,8.34,0.44,9.0,7,11.0,1.62,0,0,1,1,0,1,2610.0
29,0.44,1.9,640,9.0,22.0,0.99708,8.28,0.55,9.5,5,18.6,1.14,0,1,1,0,0,0,6080.0
30,0.36,13.2,640,53.0,178.0,0.9976,8.01,0.48,9.0,8,14.8,1.13,0,0,1,0,0,1,5760.0
31,0.31,17.3,550,32.0,197.0,1.0002,8.13,0.46,9.0,8,14.6,1.04,0,0,1,1,0,1,4950.0
32,0.35,1.4,500,23.0,83.0,0.99019,8.17,0.48,12.0,9,13.2,1.83,0,0,1,0,0,1,6000.0
33,0.07,7.1,440,34.0,145.0,0.9945,8.34,0.57,9.7,8,10.6,1.17,1,1,0,0,0,1,4268.0
34,0.0,1.4,570,15.0,26.0,0.99448,8.36,0.45,9.5,5,12.0,1.77,1,1,0,0,0,0,5415.0
35,0.39,8.0,280,22.0,84.0,0.994,8.11,0.66,10.8,8,13.8,1.02,0,0,1,1,0,1,3024.0
36,0.19,2.0,640,17.0,108.0,0.9962,8.32,0.54,9.5,5,15.6,1.23,1,1,0,0,0,0,6080.0
37,0.35,1.6,640,16.0,39.0,0.9961,8.34,0.55,9.2,5,14.0,1.95,0,1,1,0,0,0,5888.0
38,0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,14.0,1.08,0,0,1,1,0,1,4590.0
39,0.33,15.7,530,51.0,190.0,0.9978,8.22,0.51,9.7,8,13.0,1.18,0,0,1,0,0,1,5141.0
40,0.0,1.9,640,22.0,39.0,0.99701,8.4,0.74,9.7,5,13.6,1.08,0,1,1,1,0,0,6208.0
